series,N,W,L,c_obs,c_surr_mean,c_surr_std,gap,z,SCI,bucket
unbinned_std,2507,20,40,0.2666,0.2308,0.04497,0.03581,0.7962,0.67185,CORE_MID
unbinned_std,2507,75,150,0.14499,0.19006,0.064686,-0.04507,-0.6968,0.34817,INELIGIBLE
unbinned_std,2507,200,400,0.11288,0.11576,0.05902,-0.00288,-0.0488,0.48902,INELIGIBLE
unbinned_raw,2507,20,40,0.94109,0.24994,0.04762,0.69115,6.0,0.9955,CORE
unbinned_raw,2507,75,150,0.84644,0.22661,0.07861,0.61984,6.0,0.9955,CORE
unbinned_raw,2507,200,400,0.56455,0.12795,0.069736,0.4366,6.0,0.9955,CORE
binned_std,83,5,10,0.19579,0.15802,0.123282,0.03777,0.3063,0.56849,TACTICAL
binned_std,83,15,25,0.23598,0.09725,0.106727,0.13873,1.2999,0.76313,CORE
binned_raw,83,5,10,0.66902,0.2131,0.142834,0.45592,3.192,0.94648,CORE
binned_raw,83,15,25,0.44382,0.13544,0.115592,0.30838,2.6678,0.91691,CORE
raw_Dl_normalized,2507,20,40,0.96968,0.96414,0.01044,0.00554,0.5307,0.61719,TACTICAL
raw_Dl_normalized,2507,75,150,0.79696,0.73082,0.057225,0.06614,1.1558,0.73889,CORE_MID
raw_Dl_normalized,2507,200,400,0.40632,0.33983,0.116753,0.06649,0.5695,0.6254,TACTICAL
